date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
31-12-2020_16s-21m-14h,1,20,10.9077,231.72985696792603,1.620488510265217,0.4798528918357404,0.9236495836627623,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,2,20,10.9087,55.9494731426239,0.39125505694142587,0.17457650531698968,0.28164888157241347,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,3,20,10.8827,36.916433826088905,0.2581568799027196,0.1821693471527237,0.312317341066108,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,4,20,11.1600,29.994776487350464,0.20975368172972353,0.13765161279080015,0.23560240356096696,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,5,20,11.3162,26.36097604036331,0.18434248979275042,0.2027965226055234,0.3610689266200462,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,6,20,11.3532,24.06463271379471,0.16828414485171125,0.25681246329171026,0.46170273341609924,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,7,20,11.6553,22.408627673983574,0.15670369002785717,0.2781902918561118,0.49838640885127244,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,8,20,11.6929,21.924417704343796,0.15331760632408248,0.23966528159223321,0.42571682038943254,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,9,20,11.7594,21.07563015818596,0.14738202907822348,0.2635999106556857,0.45532331001423954,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,10,20,11.3592,20.898594707250595,0.14614401893182236,0.38595143790038733,0.7012636149516318,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,11,20,11.6423,19.907160326838493,0.13921091137649297,0.3532971351934714,0.642047053407308,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,12,20,11.6198,19.290862180292606,0.13490113412792032,0.32218970853875295,0.5735405893728557,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,13,20,11.6336,18.29232858866453,0.12791838173891282,0.31909782489403477,0.5706594892181874,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,14,20,11.6641,17.63463792204857,0.12331914630803195,0.3076621381511567,0.5432461339258329,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,15,20,11.6538,16.8725388944149,0.11798978247842588,0.3926981132321972,0.7040018219325237,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,16,20,11.4201,16.54463853687048,0.11569677298510825,0.4455961914054733,0.8091913859544079,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,17,20,11.0508,16.00350198894739,0.11191260132131044,0.3322265977087324,0.5923330767140796,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,18,20,11.0461,15.6863347068429,0.1096946482996007,0.39439013113496824,0.7074599197034698,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,19,20,11.4303,15.465439721941948,0.10814992812546817,0.39403735543297824,0.711572330933149,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
31-12-2020_16s-21m-14h,20,20,11.7464,14.932724356651306,0.10442464585070843,0.3461368084049393,0.622129641669358,4,64,8,0.5828370767948365,1,1,1,1,1,1,1,1,1,228.0492877960205
