date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
06-01-2021_09h-26m-43s,1,1000,4.5027,74.64731132984161,1.0367682129144669,0.49067187675457735,0.7058591842211014,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,2,1000,4.5227,19.133881136775017,0.2657483491218752,0.1686034428169808,0.3038683261187561,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,3,1000,4.5015,12.25230686366558,0.17017092866202196,0.1776945595610034,0.34350120868514344,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,4,1000,4.5284,10.287138037383556,0.14287691718588272,0.11936323211887362,0.22451312685933156,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,5,1000,4.5373,10.259248830378056,0.1424895670885841,0.14949287811420742,0.29205058840859766,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,6,1000,4.5283,9.248436704277992,0.12845050978163877,0.13518729700808257,0.26544511288470996,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,7,1000,4.5430,8.384891659021378,0.11645682859751913,0.07888051610471551,0.15416198496145095,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,8,1000,4.5080,8.490625515580177,0.11792535438305801,0.13892654630932916,0.2778979203225567,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,9,1000,4.5033,8.249169178307056,0.11457179414315356,0.1486757282446729,0.29489521784207723,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,10,1000,4.5461,8.703622862696648,0.12088365087078677,0.15212712755503352,0.29591836549064543,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,11,1000,4.5050,7.347888678312302,0.10205400942100419,0.12732693850921367,0.24463845860346703,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,12,1000,4.5248,6.7586928233504295,0.09387073365764485,0.17535074409981755,0.33861395360244534,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,13,1000,4.5040,6.335417129099369,0.08799190457082456,0.16068978035530965,0.31870838182714,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,14,1000,4.5049,5.883953236043453,0.08172157272282574,0.2027974619856999,0.4112157119614193,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,15,1000,4.5264,5.5113096088171005,0.0765459667891264,0.15812426785941233,0.31944728087306934,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,16,1000,4.5261,5.117831230163574,0.07108098930782741,0.15333520150286736,0.31893090687878356,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,17,1000,4.4976,5.118475262075663,0.07108993419549531,0.17129172514357946,0.33964478645974383,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,18,1000,4.5081,5.329120837152004,0.07401556718266672,0.19775142278069247,0.3861830628821781,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,19,1000,4.5251,4.683276899158955,0.06504551248831882,0.10281914618270047,0.2083670625908406,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,20,1000,4.4880,4.427008230239153,0.06148622541998824,0.18315905843633631,0.35940431870551404,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,21,1000,4.5300,4.329146444797516,0.060127033955521055,0.1618673096699433,0.3259325913658798,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,22,1000,4.5098,4.1683664582669735,0.057893978587041296,0.13021866359817885,0.26031776309862004,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,23,1000,4.4937,4.083418387919664,0.05671414427666201,0.16569865245395926,0.33453932886429394,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,24,1000,4.5175,3.8716559894382954,0.05377299985330966,0.1273359879003894,0.2542915488622747,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,25,1000,4.4961,3.9690715335309505,0.055125993521263204,0.09133265199154891,0.17698302974799518,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,26,1000,4.5248,3.902713194489479,0.054204349923464984,0.1328095541942403,0.27532750116698285,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,27,1000,4.4942,3.614820122718811,0.050205835037761264,0.11834327276289916,0.23595150096417833,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,28,1000,4.3655,3.5951676927506924,0.049932884621537395,0.11361121984424118,0.22417767829252505,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,29,1000,4.3270,3.5166008919477463,0.048841679054829806,0.1135243764179714,0.2198129987880108,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,30,1000,4.3346,3.413453422486782,0.04740907531231642,0.12701974249112427,0.25617581690568514,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,31,1000,4.3090,3.434129424393177,0.04769624200546079,0.10061280823545453,0.20481992268702523,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,32,1000,4.3036,3.32599138841033,0.04619432483903236,0.14625340512431886,0.30082602336717723,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,33,1000,4.3254,3.1381082348525524,0.04358483659517434,0.10684826815854184,0.21295659920780852,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,34,1000,4.5029,3.0561115704476833,0.0424459940339956,0.09315606143175055,0.1919052623023931,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,35,1000,4.4303,3.276782315224409,0.045510865489227906,0.15528622800500336,0.31213803805724255,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,36,1000,4.4743,3.108628988265991,0.04317540261480543,0.0689890620502142,0.14182280255730198,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
06-01-2021_09h-26m-43s,37,1000,4.4908,3.013030707836151,0.04184764871994654,0.09064556670048388,0.17463759594359335,2,32,8,0.1,1,1,1,1,1,1,1,1,1,1775.2193324565887
