date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
01-01-2021_39s-14m-20h,1,20,22.9382,170.73444679379463,1.1939471803761863,0.20492922431664506,0.3845096917146393,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,2,20,22.9974,44.59911409020424,0.31188191671471494,0.2383443531999526,0.4588182992399405,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,3,20,22.8862,31.257739827036858,0.21858559319606194,0.17199223388253781,0.3526020587482861,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,4,20,22.6585,25.408206716179848,0.17767976724601292,0.19659891212978411,0.3927739526997267,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,5,20,22.6703,21.46331837773323,0.150093135508624,0.22144538550617632,0.46264839766121807,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,6,20,22.6714,20.68482804298401,0.14464914715373434,0.2084384573543009,0.4574061000196029,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,7,20,22.6760,18.58401222527027,0.12995812744944246,0.2458072458666947,0.4962501418846513,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,8,20,22.7439,17.751331135630608,0.1241351827666476,0.17347432254578687,0.3808842584608403,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,9,20,22.6672,16.989525757730007,0.11880787243167837,0.2738794887144006,0.612942489733881,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,10,20,22.6466,15.39174783974886,0.10763460027796405,0.28639142206455737,0.6308983858038407,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,11,20,22.8506,14.721582747995853,0.10294813110486611,0.38042931434115207,0.8037133473394023,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,12,20,22.7519,14.162122465670109,0.09903582143825251,0.18912678319348444,0.410701689503475,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,13,20,22.9047,12.596793837845325,0.08808946739751976,0.29485732739378107,0.632246998964268,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,14,20,22.7734,11.913267582654953,0.0833095635150696,0.19153519084995302,0.4296231936316611,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,15,20,22.6328,11.097857631742954,0.0776073960261745,0.24147962689981356,0.5486833062495586,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,16,20,22.6237,11.001546155661345,0.07693388920042898,0.1615721260287764,0.36214922573200836,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,17,20,22.6199,10.705294243991375,0.07486219751042919,0.19739343475002746,0.4419219407094147,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,18,20,22.7696,10.276496723294258,0.0718636134496102,0.19538311318312418,0.45396459776023623,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,19,20,22.7563,9.739623945206404,0.06810925835808673,0.20430629697297792,0.47018044839811657,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
01-01-2021_39s-14m-20h,20,20,22.7427,9.836375437676907,0.06878584222151683,0.18667559408467368,0.42590115783197874,8,128,16,0.32196800489755584,1,1,1,1,1,0,0,0,0,455.2040464878082
