date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
31-12-2020_05s-48m-23h,1,20,52.8184,121.31824186444283,0.8483793137373624,0.2888724665142822,0.5440293773223774,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,2,20,52.8413,40.76099647581577,0.2850419333973131,0.2421810931739388,0.447479949622219,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,3,20,52.8582,41.528166726231575,0.2904067603232977,0.26003054862540886,0.4827315786607649,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,4,20,52.8803,43.761401295661926,0.30602378528434915,0.48519727768802523,0.903442561496243,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,5,20,52.8401,29.653262719511986,0.20736547356302087,0.12156120743066931,0.23600636365256614,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,6,20,52.8211,29.93375262618065,0.2093269414418227,0.16323713260780212,0.3311275062391772,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,7,20,52.8539,24.189089104533195,0.1691544692624699,0.16983607701973286,0.33891604402364944,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,8,20,52.6817,19.673938766121864,0.13757999137148158,0.13917536230463842,0.287718741800222,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,9,20,52.6670,15.10915294289589,0.10565841218808314,0.19628767752604986,0.39460653108923377,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,10,20,52.7031,14.27463512122631,0.09982262322535881,0.2942281924599921,0.6607775790615673,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,11,20,52.6630,13.894789598882198,0.09716636083134404,0.23585402155950266,0.537575563902128,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,12,20,52.6651,11.331035252660513,0.07923800875986373,0.12633420783184746,0.2605999059544128,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,13,20,52.6830,9.991432171314955,0.06987015504416053,0.13105701662607278,0.28310999886853017,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,14,20,52.6364,9.132620003074408,0.06386447554597488,0.09721862214724308,0.22187063054612535,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,15,20,52.6495,8.261047203093767,0.05776956086079557,0.15041322585800626,0.3198050079539911,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,16,20,52.6862,7.7429836466908455,0.05414673878804787,0.11667617021685302,0.27039239436881496,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,17,20,52.6424,7.971432611346245,0.05574428399542829,0.12715336175327438,0.29188787276449396,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,18,20,52.6533,7.510416191071272,0.05252039294455435,0.12469157157110135,0.2582330449831186,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,19,20,52.6609,6.52152781188488,0.04560508959360056,0.08227376805754258,0.1861597095614008,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
31-12-2020_05s-48m-23h,20,20,52.6514,6.192993640899658,0.04330764783845915,0.08628471329829633,0.19489316108404295,16,256,4,0.10898058152422163,1,1,1,1,1,1,1,1,0,1055.20326089859
