,number,value,datetime_start,datetime_complete,duration,params_emb_size,params_heads,params_layers,system_attrs_grid_id,system_attrs_search_space,state
24,24,0.13103073663726364,2021-01-06 12:22:44.811521,2021-01-06 12:41:20.503854,0 days 00:18:35.692333,32,2,8,14,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
25,25,0.06699506075710192,2021-01-06 12:41:20.504593,2021-01-06 12:49:23.057473,0 days 00:08:02.552880,16,8,1,6,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
26,26,0.03221470697831727,2021-01-06 12:49:23.058080,2021-01-06 13:14:48.141495,0 days 00:25:25.083415,32,2,2,13,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
27,27,0.037331503500762094,2021-01-06 13:14:48.142139,2021-01-06 13:27:01.645080,0 days 00:12:13.502941,128,2,1,21,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
28,28,0.029152496984941375,2021-01-06 13:27:01.645647,2021-01-06 13:49:13.693951,0 days 00:22:12.048304,128,8,1,24,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
29,29,0.05358480906280954,2021-01-06 13:49:13.694551,2021-01-06 13:57:26.974059,0 days 00:08:13.279508,32,2,1,12,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
30,30,0.060864233916479785,2021-01-06 13:57:26.974689,2021-01-06 14:36:45.263173,0 days 00:39:18.288484,128,2,8,23,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
31,31,0.19000689360334005,2021-01-06 14:36:45.263882,2021-01-06 14:57:03.935730,0 days 00:20:18.671848,32,8,8,17,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
32,32,0.20064782759215968,2021-01-06 14:57:03.936474,2021-01-06 15:16:17.195845,0 days 00:19:13.259371,16,8,8,8,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
33,33,0.03883078928285579,2021-01-06 15:16:17.196583,2021-01-06 15:32:24.792660,0 days 00:16:07.596077,16,1,1,0,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
34,34,0.03153254119817718,2021-01-06 15:32:24.793245,2021-01-06 15:53:44.554517,0 days 00:21:19.761272,32,1,2,10,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
35,35,0.16088740682159614,2021-01-06 15:53:44.555107,2021-01-06 16:05:14.058644,0 days 00:11:29.503537,512,2,1,30,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
